S5,S6,S1,S2
CCDC107,2238.64818996157,0.365453487940216,4629.5897948942,1.74143900074381
UBE2C,400.845343957502,1483.18013370024,1847.41111483009,44.8768658360868
RARG,104.679888334002,1755.79929775462,3365.33048608378,1613.40880111256
ITGB3,1832.39069329274,632.440284812659,0.00128080515343669,347.401018401995
TRIM22,1236.70738618574,652.321482852258,3.20677958920004e-10,1845.65301643139
NOTCH4,699.706405562552,1167.12658706383,0.0307913697077433,1287.57942216726
MRAS,1622.79603401782,688.266505464678,1089.11705501139,2107.34833747939
DIXDC1,3239.87748578553,601.291309419746,93.4809292380183,510.127088927492
N4BP1,475.484210825314,1399.45411228343,150.848732566779,1715.58071464552
FAM46A,911.862983006971,983.884132627838,604.597228349546,3852.43174397987
C16orf45,2210.43083179649,1181.71110317656,1023.68227323216,4.09192044174793
A4GALT,2012.33234438222,374.807484177952,76.7657939480457,1288.44341192684
C9orf16,610.37081385147,32.1227819024417,6430.35381583245,1686.6714747179
RNASE4,2676.89544430171,127.422727734284,6.56137382900224,1698.13478705569
