S9,S5,S1,S8,S4,S3
GPR153,218.804588178333,95.797909674874,938.07430133282,650.725458788132,4948.07888829342,748.413058545558
MAN1C1,2.89853487974126e-12,393.550540414206,2.32897926714649,1032.25544955853,0.287643611900296,2998.41239659718
MEX3A,522.687581398032,218.481404418553,153.761312438635,2535.05744929652,2.38194348548446e-06,7.00749009924824e-20
TCF7L1,1090.19402500982,0.00331191674011208,216.4213060452,2495.37219684077,3.62019546067931e-05,477.156970835716
METRN,2057.68809707282,425.524492185203,0.122670535788611,7.00385631642316,3179.41611558453,1264.76228722209
IRF8,78.3227785095893,323.347707219851,0.182508087171063,1350.07346141449,1105.69334822708,386.586711352722
ENPP2,0.300718131264848,483.041072118605,1.92149766021659e-06,1189.1487226481,2552.13315144322,8.01672878425901
UBE2C,37.6925280569332,643.568816010225,25.0589457322446,1463.41331846281,1656.15423069888,428.328355356417
RAPGEF5,814.38466194839,166.931734446965,278.198895890879,332.218564173179,7.68194344314871e-19,1.08850734513748e-05
SNAI2,0.0110405212907925,0.369952721129087,2.2085678253918e-18,775.096183220655,1528.5420729416,2.46051042339811e-10
CYP21A2,1038.17298525252,402.851622408089,505.92227640902,26.7179420144143,2251.31872507351,2227.60952190073
IRX3,527.208007139146,104.413795279546,412.738480313298,53.5219140423834,0.223909956242158,1928.17976364542
ADAMTS10,2071.99614967202,321.826570720388,10.0595909808359,1985.83993412579,0.0251340399573838,160.071874686233
USP18,4.73767238657565e-09,6.78372424905898e-25,5.79874323182337e-10,213.748312778986,5.89339880039339e-06,3596.82787933226
LPAR1,659.965306861114,309.795885634585,584.911100683472,802.708268105158,20.6845675074832,127.83204057597
NEXN,422.802284726269,2.18783484730336,1.6640264623734e-06,487.419922401096,181.469842714067,2218.40511785523
GGH,349.479975173143,715.16179924992,251.442124191294,623.25100549133,4415.96592749063,308.706473112157
SERTAD1,496.933283136739,6.67980611526619,299.060668803734,243.414782181233,2085.64044537171,2211.65145763971
PLK1,1.96265154292573,532.945089461867,271.602161639347,1294.46034943995,1249.40761690265,2.22145272292152
ITGAL,7.33982241476879e-07,284.951411787722,44.7784709249152,487.397624667438,349.476442269202,1637.75679721213
DYNC2H1,277.419243382626,557.217439741102,1390.67925590287,448.826658631603,2.02957428886369,12.683150757034
MAN1A1,4.14541301855987e-08,858.675418190443,469.547090006927,699.188096150809,5.2813612538436e-22,3.58841079244678e-19
LONRF2,834.563936623608,699.526826791403,468.12820283662,1299.36042896015,0.00117539085042248,7.2604832011048e-28
RAB6B,1109.24755318485,370.596109415284,868.917423387849,641.73178620303,42.0840123697295,410.983440970531
