S5,S2,S1
LRRC8C,317.768859182742,623.605593002079,142.842853840619
PTPRK,0.00148176154177526,206.415830605778,723.670910815083
MAST3,241.693855866985,1444.29807086603,562.6814528396
KTELC1,636.856631845522,558.554706544732,843.10140331799
LPCAT4,304.473018992633,412.478454837362,43.4102804873422
CAP2,470.157383002197,155.302103513063,637.194109330719
GNB5,456.221131742594,0.0254136618480539,782.354645183473
SLC43A1,291.97720934549,424.396281156175,618.655503710526
FAM158A,415.775962247968,697.880851427232,370.296067693597
ZNF518B,433.65702850361,348.920383470158,1082.24626075088
ZNF217,260.885097071096,0.0571133160219732,164.504250114242
LRDD,413.280846950508,1638.0875564585,293.882853316147
MFSD3,529.715313881728,653.330050804435,282.714296076176
LOC729082,647.164554059036,513.845167396446,377.315407670531
LARGE,837.551043484703,6.59357646202866e-10,571.962744419579
NCRNA00219,641.44785247166,931.827768143351,576.372118784984
RCC1,251.827592595322,539.827991889671,437.546473072094
CROT,620.780141804465,4.11070313899785e-12,834.469729220665
UNC93B1,0.0923399350267014,224.790734496799,7.96700401844803
GNPDA2,455.699161321735,12.9516187913967,921.369724790616
HSPB11,6.46201285099408,548.112746927761,147.093242814347
DHX58,384.074043931449,444.532192647722,301.91418069563
NCRNA00116,0.00760547466075272,1030.59547401378,0.000380376040579346
RNLS,441.131360427519,3.5848032289359e-09,766.941905443568
WDR19,441.299457719983,1302.08040545285,623.277525016562
C1GALT1,612.86616693939,5.65646130822438e-13,617.695055167192
ALDH5A1,290.410703215769,131.43810788983,893.451432575274
TMEM65,216.310308459398,5.58420463442387e-08,231.822343073867
SNAPC4,576.215545944351,753.16949379211,566.220401758883
ARHGEF10,491.38169270749,459.386793027995,364.997654296408
RHBDD3,505.61022796704,612.343669598597,312.555279813141
SIK2,580.495377958473,1105.92856810835,452.374940372792
ZMYND19,356.05557945778,1279.26242806978,353.794885128595
ABL2,498.818481869763,438.000859147723,461.443505819531
TRIM38,0.000113977387209366,126.755271127797,674.435090996968
DENND4A,562.915618059353,3.68456226925654e-14,865.675368608047
MXD3,117.252959105944,1126.6909714525,87.083918349757
KCTD11,583.864079315424,0.0539670938974487,314.991436978557
MLH3,288.26520446718,160.265164847301,1187.6339126068
SLC22A5,304.324083740049,220.222830024274,782.573985744571
DDX60L,207.526795180558,2.22280382037672e-09,680.086253588577
TAF1D,597.322674979694,1016.62406582868,7.28195375380898
PHC1,287.764122582361,1341.89489296293,259.229950248445
IDUA,433.904802466485,698.847100185619,141.441996618525
STARD13,274.853630589063,469.513100049043,631.969248210824
UBTD1,374.948944011486,388.702631997836,0.00505074842378694
POLR3D,484.208493605187,327.903667381318,145.575687613639
CCDC101,225.513530224354,1019.79575589345,328.66825011301
NT5C,238.407325883692,1087.85130352164,3.02409188360528e-06
ZNF692,407.964137838848,1659.73460823936,114.100591801472
OTUD7B,716.631441018324,340.856318425045,661.350074371882
BOLA3,218.547306767617,947.650243019197,0.000113319157776424
CPEB2,0.186959231483285,998.343917626748,569.606484000336
SHANK3,241.214780649529,486.819216155423,301.361261513537
C14orf129,499.246467954527,1.8278598469743e-05,825.138218475337
NIPA1,344.954748372435,7.20527817179739e-07,844.524067575145
