S6,S5,S2,S7,S9,S8
FXYD1,16.766826470885,6086.83169837899,7.44976913786874e-21,11761.3673568422,98.0905538620168,4520.44687375035
UGT1A3,5.39559523289097e-14,4131.93187363716,8930.75260753591,1.05312182128331e-21,3.6636872878812e-12,1.29464926201148e-19
HIST2H2AA3,0.0120122293533225,8.18710654387026e-12,1839.77680999129,17819.3293577997,682.854204849347,2867.46186848494
LEAP2,120.504528220103,8023.97935805372,1519.37344679065,9052.66020036666,1996.89746068759,4903.12058720818
APOF,75.7096377188398,9861.45936532291,1.87295341881849e-16,8540.63911794327,9.51085624389908e-07,9.41136369335548
MCM7,2596.4571543921,3.35535772556802,2.2890340104629,1.07969691158648e-08,1456.67522418574,16039.4319013861
FGFR3,1895.87019744875,2.65778779407795e-15,5.76238994299461e-11,0.000934567661818957,6849.01916147877,5287.95954449298
C19orf53,1812.67683104119,10.1569961127556,843.75744741603,9502.33188888977,527.222562947883,11120.0081083683
MVD,901.49366789157,1088.22075514242,7.55582076500719,2684.10235850085,1.13964021681948,17513.4851981973
GRAMD4,0.0368393015646642,2701.21750965603,2.0516398221292e-07,6271.83641982506,2885.28039322287,4.78558762980753e-12
COL5A1,2.85725585176522e-05,1624.48794014398,3.04518578269925e-20,74.5034766623626,0.0251106423250912,2.86692469311856e-08
CTGF,366.344249687706,4454.26866830856,3.09919352567482e-06,222.704138635695,4300.11503729302,199.402936088268
LAPTM5,931.55775949698,1158.13663547371,0.0184279597706434,742.782914353025,1.72931407888622,6392.23968561874
PPP1R1A,2530.34013688064,1973.32436126435,3.94086546573658e-18,11286.2963582998,3542.14984629549,1824.0751601057
LGALS3,2064.57513319163,47.7537634939513,1.09954095069657e-11,2713.17789432553,0.042315533490583,1876.36977713612
TRIB3,4961.60522755903,1.24978364076451e-05,0.154704947241967,0.00294502007644579,18.6458781177712,7248.63310031475
HLA-DMA,676.049957915833,4.62089159124585,1711.2202470943,2440.83929778585,2.15839452664789e-06,1990.00848691231
LDLR,1617.00563649666,6618.86522181734,3827.55790900095,6.6273487853357,3671.61441732446,0.022738809378942
LAD1,1502.44317438271,5.55765415076236e-16,4.29636316056411e-19,2706.5917469549,2887.05886659636,5006.42220630566
HLA-DQB1,173.141498271923,849.635464224443,524.090019987114,3551.5084714087,230.413909872253,4026.61485576571
PTRF,142.377778983635,3506.76354617053,1072.11508085553,5140.54760527129,163.03445962945,1232.2989268307
OGDHL,1145.14851241948,9150.85058133663,1849.58072299524,13093.6109077659,0.201935259595663,0.935757072966249
LAMB1,1075.34090958874,1024.9064794449,0.0106836754203481,0.00153293354561746,2333.98425364901,1351.91279578992
ZGPAT,959.588749604705,6480.4869620043,9.16219211420656e-05,9767.8621645287,0.00626868755358396,6608.08386920834
FAM128B,1271.17981727075,113.340933493244,145.93654620178,11029.7867386689,313.317726019408,17578.9114737882
VWF,47.7972435295058,8357.32923298968,3053.13074865493,6481.86700910904,2140.09881278928,245.58166244851
GAS5,47.6282874795812,1.20061179899126e-06,105.366613518985,0.0895634622109561,4083.63157475287,18657.3988068365
KLKB1,737.560905854684,11350.2357099725,232.780708050673,10935.1774916951,1842.98462052837,1975.30059178803
GBP2,3171.51660879689,56.2519287932335,447.199266079581,3881.34432904194,1.60281537256784,4120.0086478813
CTSC,1033.42747795606,3.04804667587193,3556.24039242949,9.96985542213061e-06,690.352605399454,4442.23968818856
PPP1R3B,2401.30283463285,8109.71078182271,1349.02188251246,0.00554396769207529,3045.85096733123,3.75932487197616e-09
PHGDH,2550.71340019049,3011.52777022559,0.00579449955162588,28.5715207823468,451.958718541129,8301.26738041625
DMGDH,580.646872830754,13168.8788258797,4933.9776857507,0.0155983745164338,976.134282445369,5.61397851225415e-07
FGFR2,3096.17335720058,7.56937770212957,2.06270532032238e-33,0.119625517854091,4366.06328319469,0.307541323393174
PHLDA1,3.59929829129033e-14,3994.53569443629,4937.26962681742,0.0172384965116924,3487.07210556528,0.0650097857285523
C3P1,162.429618654701,9273.11289925541,764.674214549346,8314.65962669338,1.01618951443266e-21,10.003539737164
PYGB,2375.85990991938,926.028869244391,2095.53469112822,60.388313882425,1.68083793309124,4175.72791288937
NDUFS6,1667.23203233335,173.778503640776,5.92397027073942,14396.093755652,0.0511184605498893,16401.341108184
AMDHD1,721.724375332606,6668.14099422898,9.94785828857809,9185.12013766845,3266.79678396169,0.000244491968252074
GLYATL1,288.494483421141,13744.8614029338,1225.4875701898,5895.11100825143,2.15430145537511,0.260750722044817
